"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-42166.258669,-0.000000,0.000000
1.000,-42166.258669,0.000000,-0.000000
2.000,-42166.258669,0.000000,-0.000000
3.000,-42166.258669,0.000000,0.000000
4.000,-42166.258669,0.000000,0.000000
5.000,-42166.258669,0.000001,0.000000
6.000,-42166.258669,0.000001,0.000000
7.000,-42166.258669,0.000001,0.000000
8.000,-42166.258669,0.000001,-0.000000
9.000,-42166.258669,0.000001,-0.000000
10.000,-42166.258669,0.000001,0.000000
11.000,-42166.258669,0.000001,-0.000000
12.000,-42166.258669,0.000001,-0.000000
13.000,-42166.258669,0.000001,0.000000
14.000,-42166.258669,0.000001,-0.000000
15.000,-42166.258669,0.000002,-0.000000
16.000,-42166.258669,0.000002,0.000000
17.000,-42166.258669,0.000002,-0.000000
18.000,-42166.258669,0.000002,0.000000
19.000,-42166.258669,0.000002,-0.000000
20.000,-42166.258669,0.000002,-0.000000
21.000,-42166.258669,0.000002,0.000000
22.000,-42166.258669,0.000002,-0.000000
23.000,-42166.258669,0.000002,-0.000000
24.000,-42166.258669,0.000002,0.000000
25.000,-42166.258669,0.000003,-0.000000
26.000,-42166.258669,0.000003,0.000000
27.000,-42166.258669,0.000003,0.000000
28.000,-42166.258669,0.000003,-0.000000
29.000,-42166.258669,0.000003,0.000000
30.000,-42166.258669,0.000003,0.000000
31.000,-42166.258669,0.000003,-0.000000
32.000,-42166.258669,0.000003,0.000000
33.000,-42166.258669,0.000003,0.000000
34.000,-42166.258669,0.000003,-0.000000
35.000,-42166.258669,0.000004,-0.000000
36.000,-42166.258669,0.000004,-0.000000
37.000,-42166.258669,0.000004,-0.000000
38.000,-42166.258669,0.000004,-0.000000
39.000,-42166.258669,0.000004,-0.000000
40.000,-42166.258669,0.000004,0.000000
41.000,-42166.258669,0.000004,-0.000000
42.000,-42166.258669,0.000004,0.000000
43.000,-42166.258669,0.000004,-0.000000
44.000,-42166.258669,0.000005,-0.000000
45.000,-42166.258669,0.000005,-0.000000
46.000,-42166.258669,0.000005,-0.000000
47.000,-42166.258669,0.000005,-0.000000
48.000,-42166.258669,0.000005,0.000000
49.000,-42166.258669,0.000005,-0.000000
50.000,-42166.258669,0.000005,0.000000
51.000,-42166.258669,0.000005,-0.000000
52.000,-42166.258669,0.000005,-0.000000
53.000,-42166.258669,0.000005,0.000000
54.000,-42166.258669,0.000006,0.000000
55.000,-42166.258669,0.000006,-0.000000
56.000,-42166.258669,0.000006,-0.000000
57.000,-42166.258669,0.000006,0.000000
58.000,-42166.258669,0.000006,0.000000
59.000,-42166.258669,0.000006,-0.000000
60.000,-42166.258669,0.000006,0.000000
61.000,-42166.258669,0.000006,-0.000000
62.000,-42166.258669,0.000006,-0.000000
63.000,-42166.258669,0.000006,-0.000000
64.000,-42166.258669,0.000007,0.000000
65.000,-42166.258669,0.000007,-0.000000
66.000,-42166.258669,0.000007,-0.000000
67.000,-42166.258669,0.000007,-0.000000
68.000,-42166.258669,0.000007,0.000000
69.000,-42166.258669,0.000007,-0.000000
70.000,-42166.258669,0.000007,-0.000000
71.000,-42166.258669,0.000007,-0.000000
72.000,-42166.258669,0.000007,0.000000
73.000,-42166.258669,0.000007,0.000000
74.000,-42166.258669,0.000008,0.000000
75.000,-42166.258669,0.000008,0.000000
76.000,-42166.258669,0.000008,-0.000000
77.000,-42166.258669,0.000008,-0.000000
78.000,-42166.258669,0.000008,-0.000000
79.000,-42166.258669,0.000008,-0.000000
80.000,-42166.258669,0.000008,0.000000
81.000,-42166.258669,0.000008,0.000000
82.000,-42166.258669,0.000008,-0.000000
83.000,-42166.258669,0.000009,-0.000000
84.000,-42166.258669,0.000009,-0.000000
85.000,-42166.258669,0.000009,0.000000
86.000,-42166.258669,0.000009,0.000000
87.000,-42166.258669,0.000009,-0.000000
88.000,-42166.258669,0.000009,0.000000
89.000,-42166.258669,0.000009,0.000000
90.000,-42166.258669,0.000009,0.000000
91.000,-42166.258669,0.000009,0.000000
92.000,-42166.258669,0.000009,0.000000
93.000,-42166.258669,0.000010,-0.000000
94.000,-42166.258669,0.000010,-0.000000
95.000,-42166.258669,0.000010,-0.000000
96.000,-42166.258669,0.000010,-0.000000
97.000,-42166.258669,0.000010,-0.000000
98.000,-42166.258669,0.000010,0.000000
99.000,-42166.258669,0.000010,0.000000
100.000,-42166.258669,0.000010,-0.000000
101.000,-42166.258669,0.000010,0.000000
102.000,-42166.258669,0.000010,-0.000000
103.000,-42166.258669,0.000011,0.000000
104.000,-42166.258669,0.000011,-0.000000
105.000,-42166.258669,0.000011,0.000000
106.000,-42166.258669,0.000011,0.000000
107.000,-42166.258669,0.000011,-0.000000
108.000,-42166.258669,0.000011,-0.000000
109.000,-42166.258669,0.000011,0.000000
110.000,-42166.258669,0.000011,0.000000
111.000,-42166.258669,0.000011,-0.000000
112.000,-42166.258669,0.000011,-0.000000
113.000,-42166.258669,0.000012,0.000000
114.000,-42166.258669,0.000012,0.000000
115.000,-42166.258669,0.000012,-0.000000
116.000,-42166.258669,0.000012,-0.000000
117.000,-42166.258669,0.000012,0.000000
118.000,-42166.258669,0.000012,0.000000
119.000,-42166.258669,0.000012,-0.000000
120.000,-42166.258669,0.000012,-0.000000
121.000,-42166.258669,0.000012,-0.000000
122.000,-42166.258669,0.000012,-0.000000
123.000,-42166.258669,0.000013,-0.000000
124.000,-42166.258669,0.000013,0.000000
125.000,-42166.258669,0.000013,-0.000000
126.000,-42166.258669,0.000013,0.000000
127.000,-42166.258669,0.000013,-0.000000
128.000,-42166.258669,0.000013,0.000000
129.000,-42166.258669,0.000013,0.000000
130.000,-42166.258669,0.000013,0.000000
131.000,-42166.258669,0.000013,-0.000000
132.000,-42166.258669,0.000014,-0.000000
133.000,-42166.258669,0.000014,0.000000
134.000,-42166.258669,0.000014,-0.000000
135.000,-42166.258669,0.000014,-0.000000
136.000,-42166.258669,0.000014,0.000000
137.000,-42166.258669,0.000014,0.000000
