"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,3676.284134,-3981.586076,6584.909109
1.000,3681.911583,-3978.739956,6583.485107
2.000,3687.537102,-3975.892124,6582.056870
3.000,3693.160686,-3973.042581,6580.624400
4.000,3698.782334,-3970.191329,6579.187697
5.000,3704.402041,-3967.338369,6577.746763
6.000,3710.019804,-3964.483704,6576.301598
7.000,3715.635619,-3961.627334,6574.852204
8.000,3721.249485,-3958.769261,6573.398581
9.000,3726.861396,-3955.909487,6571.940730
10.000,3732.471350,-3953.048013,6570.478652
11.000,3738.079343,-3950.184841,6569.012348
12.000,3743.685373,-3947.319972,6567.541820
13.000,3749.289435,-3944.453408,6566.067067
14.000,3754.891527,-3941.585150,6564.588091
15.000,3760.491645,-3938.715201,6563.104894
16.000,3766.089786,-3935.843560,6561.617475
17.000,3771.685946,-3932.970231,6560.125835
18.000,3777.280123,-3930.095214,6558.629977
19.000,3782.872312,-3927.218511,6557.129900
20.000,3788.462511,-3924.340124,6555.625606
21.000,3794.050716,-3921.460054,6554.117095
22.000,3799.636924,-3918.578303,6552.604370
23.000,3805.221131,-3915.694872,6551.087429
24.000,3810.803335,-3912.809762,6549.566276
25.000,3816.383532,-3909.922976,6548.040909
26.000,3821.961718,-3907.034515,6546.511332
27.000,3827.537891,-3904.144380,6544.977544
28.000,3833.112046,-3901.252574,6543.439546
29.000,3838.684181,-3898.359096,6541.897340
30.000,3844.254293,-3895.463950,6540.350926
31.000,3849.822378,-3892.567137,6538.800306
32.000,3855.388433,-3889.668657,6537.245480
33.000,3860.952454,-3886.768513,6535.686449
34.000,3866.514438,-3883.866707,6534.123215
35.000,3872.074382,-3880.963239,6532.555779
36.000,3877.632283,-3878.058112,6530.984141
37.000,3883.188136,-3875.151327,6529.408303
38.000,3888.741940,-3872.242885,6527.828265
39.000,3894.293691,-3869.332788,6526.244028
40.000,3899.843385,-3866.421038,6524.655594
41.000,3905.391018,-3863.507636,6523.062964
42.000,3910.936589,-3860.592583,6521.466138
43.000,3916.480093,-3857.675882,6519.865118
44.000,3922.021528,-3854.757534,6518.259904
45.000,3927.560889,-3851.837540,6516.650499
46.000,3933.098174,-3848.915902,6515.036901
47.000,3938.633379,-3845.992621,6513.419114
48.000,3944.166501,-3843.067700,6511.797137
49.000,3949.697537,-3840.141139,6510.170973
50.000,3955.226483,-3837.212940,6508.540621
51.000,3960.753337,-3834.283105,6506.906083
52.000,3966.278094,-3831.351635,6505.267360
53.000,3971.800752,-3828.418532,6503.624453
54.000,3977.321307,-3825.483798,6501.977363
55.000,3982.839756,-3822.547433,6500.326091
56.000,3988.356096,-3819.609440,6498.670638
57.000,3993.870323,-3816.669820,6497.011006
58.000,3999.382435,-3813.728575,6495.347195
59.000,4004.892428,-3810.785706,6493.679207
60.000,4010.400298,-3807.841215,6492.007041
61.000,4015.906042,-3804.895103,6490.330701
62.000,4021.409658,-3801.947372,6488.650186
63.000,4026.911141,-3798.998023,6486.965498
64.000,4032.410489,-3796.047059,6485.276638
65.000,4037.907698,-3793.094480,6483.583606
66.000,4043.402765,-3790.140289,6481.886405
67.000,4048.895687,-3787.184486,6480.185034
68.000,4054.386460,-3784.227073,6478.479496
69.000,4059.875082,-3781.268053,6476.769791
