"Time (EpSec)","x (km)","y (km)","z (km)"
0.000,-2027.027616,3842.049739,6270.429566
1.000,-2033.687405,3841.728638,6268.469566
2.000,-2040.345425,3841.405087,6266.503937
3.000,-2047.001673,3841.079085,6264.532681
4.000,-2053.656141,3840.750632,6262.555799
5.000,-2060.308825,3840.419728,6260.573293
6.000,-2066.959718,3840.086373,6258.585164
7.000,-2073.608815,3839.750568,6256.591416
8.000,-2080.256111,3839.412312,6254.592049
9.000,-2086.901600,3839.071606,6252.587065
10.000,-2093.545277,3838.728448,6250.576467
11.000,-2100.187135,3838.382841,6248.560255
12.000,-2106.827170,3838.034782,6246.538432
13.000,-2113.465375,3837.684274,6244.510999
14.000,-2120.101745,3837.331314,6242.477959
15.000,-2126.736275,3836.975905,6240.439312
16.000,-2133.368959,3836.618045,6238.395062
17.000,-2139.999792,3836.257735,6236.345210
18.000,-2146.628767,3835.894974,6234.289757
19.000,-2153.255880,3835.529764,6232.228706
20.000,-2159.881125,3835.162103,6230.162058
21.000,-2166.504495,3834.791992,6228.089815
22.000,-2173.125987,3834.419431,6226.011979
23.000,-2179.745593,3834.044420,6223.928552
24.000,-2186.363310,3833.666959,6221.839536
25.000,-2192.979130,3833.287048,6219.744933
26.000,-2199.593049,3832.904687,6217.644744
27.000,-2206.205060,3832.519877,6215.538972
28.000,-2212.815159,3832.132617,6213.427618
29.000,-2219.423340,3831.742907,6211.310684
30.000,-2226.029598,3831.350748,6209.188173
31.000,-2232.633926,3830.956140,6207.060085
32.000,-2239.236319,3830.559082,6204.926423
33.000,-2245.836772,3830.159574,6202.787190
34.000,-2252.435279,3829.757617,6200.642386
35.000,-2259.031835,3829.353211,6198.492013
36.000,-2265.626434,3828.946356,6196.336075
37.000,-2272.219071,3828.537052,6194.174572
38.000,-2278.809740,3828.125299,6192.007506
39.000,-2285.398435,3827.711097,6189.834880
40.000,-2291.985152,3827.294446,6187.656695
41.000,-2298.569883,3826.875347,6185.472954
42.000,-2305.152625,3826.453798,6183.283658
43.000,-2311.733372,3826.029802,6181.088809
44.000,-2318.312117,3825.603356,6178.888410
45.000,-2324.888856,3825.174463,6176.682462
46.000,-2331.463582,3824.743121,6174.470967
47.000,-2338.036292,3824.309330,6172.253927
48.000,-2344.606978,3823.873092,6170.031344
49.000,-2351.175635,3823.434405,6167.803221
50.000,-2357.742259,3822.993271,6165.569559
51.000,-2364.306842,3822.549689,6163.330360
52.000,-2370.869381,3822.103659,6161.085626
53.000,-2377.429869,3821.655181,6158.835359
54.000,-2383.988302,3821.204256,6156.579562
55.000,-2390.544672,3820.750883,6154.318236
56.000,-2397.098976,3820.295063,6152.051383
57.000,-2403.651206,3819.836796,6149.779006
58.000,-2410.201359,3819.376081,6147.501106
59.000,-2416.749429,3818.912920,6145.217686
60.000,-2423.295409,3818.447311,6142.928746
61.000,-2429.839295,3817.979256,6140.634291
62.000,-2436.381081,3817.508754,6138.334321
63.000,-2442.920761,3817.035805,6136.028839
64.000,-2449.458331,3816.560410,6133.717846
65.000,-2455.993784,3816.082568,6131.401345
66.000,-2462.527115,3815.602280,6129.079339
67.000,-2469.058319,3815.119546,6126.751828
